classifierClassName	filterClassName	featureSetSize	wAuc
weka.classifiers.bayes.NaiveBayes	No feature selection	4026	0.840341
weka.classifiers.lazy.IBk	No feature selection	4026	0.882073
weka.classifiers.trees.J48	No feature selection	4026	0.777807
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	5	0.953544
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	6	0.953544
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	7	0.954139
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	8	0.956522
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	9	0.941632
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	10	0.950566
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	20	0.966051
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	50	0.966107
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	100	0.966095
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.InfoGainAttributeEval	200	0.94801
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	5	0.952353
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	6	0.952353
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	7	0.956522
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	8	0.965456
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	9	0.961882
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	10	0.96486
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	20	0.976772
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	50	0.966095
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	100	0.962428
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ChiSquaredAttributeEval	200	0.950901
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	5	0.828469
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	6	0.810602
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	7	0.816557
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	8	0.813579
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	9	0.915426
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	10	0.913639
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	20	0.972603
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	50	0.966464
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	100	0.968703
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.GainRatioAttributeEval	200	0.962561
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	5	0.958309
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	6	0.968434
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	7	0.962478
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	8	0.96486
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	9	0.969029
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	10	0.966051
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	20	0.977367
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	50	0.967094
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	100	0.969274
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.SymmetricalUncertAttributeEval	200	0.955957
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	5	0.917213
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	6	0.912448
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	7	0.902323
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	8	0.89458
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	9	0.883264
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	10	0.884455
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	20	0.897031
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	50	0.912504
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	100	0.912758
weka.classifiers.bayes.NaiveBayes	weka.attributeSelection.ReliefFAttributeEval	200	0.926733
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	5	0.888029
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	6	0.882668
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	7	0.873139
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	8	0.86897
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	9	0.866587
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	10	0.867183
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	20	0.917808
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	50	0.904581
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	100	0.913983
weka.classifiers.bayes.NaiveBayes	edu.fau.weka.wrappers.ReliefFWeightedWrapper	200	0.930449
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	5	0.940739
weka.classifiers.lazy.IBk	weka.attributeSelection.InfoGainAttributeEval	6	0.946099
